id,food_group_id,long_desc,short_desc,common_names,manufac_name,survey,ref_desc,refuse,sci_name,nitrogen_factor,protein_factor,fat_factor,calorie_factor,Protein (g),Total lipid (fat) (g),"Carbohydrate, by difference (g)",Ash (g),Energy (kcal),"Alcohol, ethyl (g)",Water (g),Caffeine (mg),Theobromine (mg),Energy (kJ),"Sugars, total (g)","Fiber, total dietary (g)","Calcium, Ca (mg)","Iron, Fe (mg)","Magnesium, Mg (mg)","Phosphorus, P (mg)","Potassium, K (mg)","Sodium, Na (mg)","Zinc, Zn (mg)","Copper, Cu (mg)","Fluoride, F (mcg)","Manganese, Mn (mg)","Selenium, Se (mcg)","Vitamin A, IU (IU)",Retinol (mcg),"Vitamin A, RAE (mcg)","Carotene, beta (mcg)","Carotene, alpha (mcg)",Vitamin E (alpha-tocopherol) (mg),Vitamin D (IU),Vitamin D3 (cholecalciferol) (mcg),Vitamin D (D2 + D3) (mcg),"Cryptoxanthin, beta (mcg)",Lycopene (mcg),Lutein + zeaxanthin (mcg),"Tocopherol, beta (mg)","Tocopherol, gamma (mg)","Tocopherol, delta (mg)","Tocotrienol, alpha (mg)","Tocotrienol, beta (mg)","Tocotrienol, gamma (mg)","Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)",Thiamin (mg),Riboflavin (mg),Niacin (mg),Pantothenic acid (mg),Vitamin B-6 (mg),"Folate, total (mcg)",Vitamin B-12 (mcg),"Choline, total (mg)",Vitamin K (phylloquinone) (mcg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg)",Betaine (mg),Tryptophan (g),Threonine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Cystine (g),Phenylalanine (g),Tyrosine (g),Valine (g),Arginine (g),Histidine (g),Alanine (g),Aspartic acid (g),Glutamic acid (g),Glycine (g),Proline (g),Serine (g),"Vitamin E, added (mg)","Vitamin B-12, added (mcg)",Cholesterol (mg),"Fatty acids, total trans (g)","Fatty acids, total saturated (g)",4:0 (g),6:0 (g),8:0 (g),10:0 (g),12:0 (g),14:0 (g),16:0 (g),18:0 (g),20:0 (g),18:1 undifferentiated (g),18:2 undifferentiated (g),18:3 undifferentiated (g),20:4 undifferentiated (g),22:6 n-3 (DHA) (g),16:1 undifferentiated (g),18:4 (g),20:1 (g),20:5 n-3 (EPA) (g),22:1 undifferentiated (g),22:5 n-3 (DPA) (g),Stigmasterol (mg),Campesterol (mg),Beta-sitosterol (mg),"Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",17:0 (g),18:1 t (g),18:2 i (g),18:2 CLAs (g),16:1 c (g),18:1 c (g),"18:2 n-6 c,c (g)","Fatty acids, total trans-monoenoic (g)","Fatty acids, total trans-polyenoic (g)","18:3 n-3 c,c,c (ALA) (g)",Starch (g),Sucrose (g),Glucose (dextrose) (g),Fructose (g),Lactose (g),Maltose (g),Adjusted Protein (g),Galactose (g),Vitamin D2 (ergocalciferol) (mcg),Menaquinone-4 (mcg),Dihydrophylloquinone (mcg),Hydroxyproline (g),22:0 (g),14:1 (g),Phytosterols (mg),15:0 (g),24:0 (g),16:1 t (g),22:1 t (g),18:2 t not further defined (g),"18:2 t,t (g)",24:1 c (g),"20:2 n-6 c,c (g)",22:1 c (g),"18:3 n-6 c,c,c (g)",17:1 (g),20:3 undifferentiated (g),13:0 (g),15:1 (g),20:3 n-3 (g),20:3 n-6 (g),20:4 n-6 (g),18:3i (g),21:5 (g),22:4 (g),18:1-11 t (18:1t n-7) (g)
11112,1100,"Cabbage, red, raw","CABBAGE,RED,RAW",,,Y,Outer leaves and core,20,Brassica oleracea (Capitata Group),6.25,2.44,8.37,3.57,1.43,0.16,7.37,0.64,31,0,90.39,0,0,130,3.83,2.1,45,0.8,16,30,243,27,0.22,0.017,,0.243,0.6,1116,0,56,670,0,0.11,0,,0,0,20,329,,,,,,,,57,0.064,0.069,0.418,0.147,0.209,18,0,17.1,38.2,0,18,18,0.1,0.012,0.039,0.034,0.046,0.049,0.014,0.012,0.036,0.022,0.048,0.083,0.024,0.048,0.136,0.329,0.034,0.054,0.059,0,0,0,,0.021,0,0,0,0,0.001,0.001,0.019,0.001,,0.012,0.034,0.045,0.001,0,0,0,0,0,0,0,,,,0.012,0.08,,,,,,,,,,,0,0.6,1.74,1.48,0,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
11113,1100,"Cabbage, red, cooked, boiled, drained, without salt","CABBAGE,RED,CKD,BLD,DRND,WO/SALT",,,Y,,0,,6.25,2.44,8.37,3.57,1.51,0.09,6.94,0.62,29,0,90.84,0,0,122,3.32,2.6,42,0.66,17,33,262,28,0.25,0.054,,0.223,2.3,33,0,2,20,0,0.12,0,,0,0,0,20,,,,,,,,34.4,0.071,0.06,0.382,0.154,0.225,24,0,21.4,47.6,0,24,24,0.1,0.013,0.041,0.036,0.049,0.051,0.014,0.013,0.038,0.023,0.05,0.088,0.026,0.05,0.144,0.346,0.036,0.056,0.062,0,0,0,,0.011,0,0,0,0,0,0,0.01,0,,0.007,0.019,0.024,0,0,0,0,0,0,0,0,,,,0.007,0.043,,,,,,,,,,,0,0.71,1.42,1.2,0,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
11114,1100,"Cabbage, savoy, raw","CABBAGE,SAVOY,RAW",,,Y,Outer leaves and core,20,Brassica oleracea (Capitata Group),6.25,2.44,8.37,3.57,2,0.1,6.1,0.8,27,0,91,0,0,113,2.27,3.1,35,0.4,28,42,230,28,0.27,0.062,,0.18,0.9,1000,0,50,600,0,0.17,0,,0,0,0,77,,,,,,,,31,0.07,0.03,0.3,0.187,0.19,80,0,12.3,68.8,0,80,80,0.5,0.02,0.069,0.101,0.103,0.094,0.02,0.017,0.064,0.034,0.085,0.114,0.041,0.07,0.197,0.445,0.044,0.393,0.116,0,0,0,,0.013,0,0,0,0,0,0,0.012,0.001,,0.007,0.021,0.028,0,0,0,0,0,0,0,0,,,,0.007,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11115,1100,"Cabbage, savoy, cooked, boiled, drained, without salt","CABBAGE,SAVOY,CKD,BLD,DRND,WO/SALT",,,,,0,,6.25,2.44,8.37,3.57,1.8,0.09,5.41,0.7,24,,92,,,100,,2.8,30,0.38,24,33,184,24,0.23,0.052,,0.152,0.7,889,0,44,,,,0,,0,,,,,,,,,,,17,0.051,0.02,0.024,0.159,0.152,46,0,,,0,46,46,,0.018,0.062,0.091,0.093,0.085,0.018,0.015,0.058,0.031,0.077,0.102,0.037,0.063,0.177,0.4,0.04,0.353,0.105,,,0,,0.012,,,0,0,0,0,0.01,0,,0.006,0.018,0.023,0,,0,,,,,,,,,0.007,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11116,1100,"Cabbage, chinese (pak-choi), raw","CABBAGE,CHINESE (PAK-CHOI),RAW","pak choi, bok choy",,Y,Base and damaged leaves,12,Brassica rapa (Chinensis Group),6.25,2.44,8.37,3.57,1.5,0.2,2.18,0.8,13,0,95.32,0,0,55,1.18,1,105,0.8,19,37,252,65,0.19,0.021,,0.159,0.5,4468,0,223,2681,1,0.09,0,,0,0,0,40,,,,,,,,45,0.04,0.07,0.5,0.088,0.194,66,0,6.4,45.5,0,66,66,0.3,0.015,0.049,0.085,0.088,0.089,0.009,0.017,0.044,0.029,0.066,0.084,0.026,0.086,0.108,0.36,0.043,0.031,0.048,0,0,0,,0.027,0,0,0,0,0.001,0.001,0.024,0.001,,0.015,0.042,0.055,0,0,0,0,0,0,0,0,,,,0.015,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11117,1100,"Cabbage, chinese (pak-choi), cooked, boiled, drained, without salt","CABBAGE,CHINESE (PAK-CHOI),CKD,BLD,DRND,WO/SALT","bok choy, pak choi",,Y,,0,,6.25,2.44,8.37,3.57,1.56,0.16,1.78,0.95,12,0,95.55,0,0,48,0.83,1,93,1.04,11,29,371,34,0.17,0.019,,0.144,0.4,4249,0,212,2549,1,0.09,0,,0,0,0,38,,,,,,,,26,0.032,0.063,0.428,0.079,0.166,41,0,12.1,34,0,41,41,0.2,0.015,0.051,0.089,0.091,0.093,0.009,0.017,0.046,0.03,0.069,0.087,0.027,0.09,0.112,0.374,0.045,0.032,0.05,0,0,0,,0.021,0,0,0,0,0.001,0.001,0.017,0.001,,0.011,0.031,0.041,0,0,0,0,0,0,0,0,,,,0.012,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11119,1100,"Cabbage, chinese (pe-tsai), raw","CABBAGE,CHINESE (PE-TSAI),RAW",,,Y,Outer leaves and root base,7,Brassica rapa (Pekinensis Group),6.25,2.44,8.37,3.57,1.2,0.2,3.23,0.98,16,0,94.39,0,0,67,1.41,1.2,77,0.31,13,29,238,9,0.23,0.036,,0.19,0.6,318,0,16,190,1,0.12,0,,0,0,0,48,,,,,,,,27,0.04,0.05,0.4,0.105,0.232,79,0,7.6,42.9,0,79,79,0.3,0.012,0.039,0.068,0.07,0.071,0.007,0.013,0.035,0.023,0.053,0.067,0.021,0.069,0.086,0.288,0.035,0.025,0.038,0,0,0,,0.043,0,0,0,0,0,0,0.038,0.005,,0.021,0.015,0.057,0,0,0.002,0,0,0,0,0,,,,0.023,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11120,1100,"Cabbage, chinese (pe-tsai), cooked, boiled, drained, without salt","CABBAGE,CHINESE (PE-TSAI),CKD,BLD,DRND,WO/SALT",,,,,0,,6.25,2.44,8.37,3.57,1.5,0.17,2.41,0.68,14,,95.24,,,59,,1.7,32,0.3,10,39,225,9,0.18,0.029,,0.153,0.4,967,0,48,,,,0,,0,,,,,,,,,,,15.8,0.044,0.044,0.5,0.08,0.177,53,0,,,0,53,53,,0.015,0.049,0.085,0.088,0.089,0.009,0.017,0.044,0.029,0.066,0.084,0.026,0.086,0.108,0.36,0.043,0.031,0.048,,,0,,0.036,,,,,,,0.032,0.004,,0.018,0.013,0.048,,,0.002,,,,,,,,,0.02,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11122,1100,"Cardoon, raw","CARDOON,RAW",,,,Tough stems and leaves,51,Cynara cardunculus,6.25,2.44,8.37,3.57,0.7,0.1,4.07,1.13,17,,94,,,71,,1.6,70,0.7,42,23,400,170,0.17,0.231,,0.256,0.2,0,0,0,,,,0,,0,,,,,,,,,,,2,0.02,0.03,0.3,0.338,0.116,68,0,,,0,68,68,,,,,,,,,,,,,,,,,,,,,,0,,0.011,,,,,,,0.009,0.002,,0.018,0.041,,,,0,,0,,,,,,,0.018,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11123,1100,"Cardoon, cooked, boiled, drained, without salt","CARDOON,CKD,BLD,DRND,WO/SALT",,,,,0,,6.25,2.44,8.37,3.57,0.76,0.11,5.33,0.34,22,,93.46,,,92,,1.7,72,0.73,43,23,392,176,0.18,,,0.133,1,118,0,6,,,,0,,0,,,,,,,,,,,1.7,0.018,0.031,0.294,0.097,0.042,22,0,,,0,22,22,,,,,,,,,,,,,,,,,,,,,,0,,0.012,,,,,,,0.01,0.002,,0.02,0.044,,,,0,,0,,,,,,,0.02,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
